ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10772218,HZ537881,12/01/2016 12:40:00 AM,073XX W FOREST PRESERVE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,false,true,1631,016,36,17,26,1126230,1925492,2016,12/08/2016 03:55:45 PM,41.951892981,-87.811382167,"(41.951892981, -87.811382167)"
10770016,HZ535438,12/01/2016 12:55:00 AM,001XX E 72ND ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0323,003,6,69,18,1178608,1857314,2016,12/08/2016 03:55:45 PM,41.76377144,-87.620920528,"(41.76377144, -87.620920528)"
10775468,HZ541994,12/01/2016 01:00:00 AM,071XX W FARRAGUT AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,1613,016,41,10,06,1127721,1934407,2016,12/08/2016 03:55:45 PM,41.976331664,-87.805699324,"(41.976331664, -87.805699324)"
10772759,HZ536258,12/01/2016 01:00:00 AM,042XX W NORTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,2534,025,30,23,14,1147652,1910292,2016,12/08/2016 03:55:45 PM,41.909797796,-87.733025085,"(41.909797796, -87.733025085)"
10771422,HZ536870,12/01/2016 01:00:00 AM,044XX W CONGRESS PKWY,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,1131,011,24,26,26,1146835,1897321,2016,12/08/2016 03:55:45 PM,41.874219587,-87.736357957,"(41.874219587, -87.736357957)"
10770348,HZ535707,12/01/2016 01:00:00 AM,016XX E 55TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0235,002,5,41,06,1187685,1868840,2016,12/08/2016 03:55:45 PM,41.795188607,-87.587285231,"(41.795188607, -87.587285231)"
10770298,HZ535667,12/01/2016 01:00:00 AM,086XX S MANISTEE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,0423,004,7,46,11,1195986,1848249,2016,12/08/2016 03:55:45 PM,41.738483788,-87.55752703,"(41.738483788, -87.55752703)"
10770130,HZ535540,12/01/2016 01:00:00 AM,097XX S PRAIRIE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0511,005,6,49,05,1179634,1840545,2016,12/08/2016 03:55:45 PM,41.717731946,-87.61767117,"(41.717731946, -87.61767117)"
10770028,HZ535425,12/01/2016 01:00:00 AM,059XX S PRAIRIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0232,002,20,40,08B,1179053,1865788,2016,12/08/2016 03:55:45 PM,41.787014838,-87.619031541,"(41.787014838, -87.619031541)"
10769989,HZ535436,12/01/2016 01:00:00 AM,052XX W MADISON ST,0810,THEFT,OVER $500,CTA BUS,false,false,1522,015,29,25,06,1141642,1899526,2016,12/08/2016 03:55:45 PM,41.880367915,-87.755370011,"(41.880367915, -87.755370011)"
10770005,HZ535454,12/01/2016 01:05:00 AM,076XX S JEFFERY BLVD,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,SIDEWALK,true,false,0414,004,8,43,26,1190860,1854807,2016,12/08/2016 03:55:45 PM,41.756604794,-87.576095781,"(41.756604794, -87.576095781)"
10769995,HZ535440,12/01/2016 01:05:00 AM,008XX W WELLINGTON AVE,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),true,false,1933,019,44,6,08B,1169981,1920130,2016,12/08/2016 03:55:45 PM,41.936335635,-87.650710119,"(41.936335635, -87.650710119)"
10772867,HZ538953,12/01/2016 01:15:00 AM,049XX N NORDICA AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,1613,016,41,10,06,1128606,1932342,2016,12/08/2016 03:55:45 PM,41.970650087,-87.802491807,"(41.970650087, -87.802491807)"
10772091,HZ535905,12/01/2016 01:20:00 AM,020XX S JEFFERSON ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,false,false,1235,012,25,31,26,1172655,1890378,2016,12/08/2016 03:55:45 PM,41.854635578,-87.641764311,"(41.854635578, -87.641764311)"
10770020,HZ535434,12/01/2016 01:20:00 AM,012XX N KILDARE AVE,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,RESIDENCE,false,false,2534,025,37,23,26,1147478,1908129,2016,12/08/2016 03:55:45 PM,41.903865642,-87.733719838,"(41.903865642, -87.733719838)"
10770017,HZ535435,12/01/2016 01:20:00 AM,045XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,true,false,1623,016,45,15,08B,1141072,1929714,2016,12/08/2016 03:55:45 PM,41.963217525,-87.756717669,"(41.963217525, -87.756717669)"
10770574,HZ535727,12/01/2016 01:30:00 AM,028XX W 38TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,false,false,0911,009,12,58,14,1157969,1879314,2016,12/08/2016 03:55:45 PM,41.82458662,-87.695969487,"(41.82458662, -87.695969487)"
22995,HZ535429,12/01/2016 01:32:00 AM,003XX S WHIPPLE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1124,011,28,27,01A,1156098,1898340,2016,12/08/2016 03:55:45 PM,41.876834002,-87.702320746,"(41.876834002, -87.702320746)"
10770930,HZ536297,12/01/2016 01:32:00 AM,013XX N HUDSON AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1821,018,27,8,06,1173068,1909520,2016,12/08/2016 03:55:45 PM,41.907153315,-87.639680572,"(41.907153315, -87.639680572)"
10770013,HZ535441,12/01/2016 01:37:00 AM,048XX W NORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2533,025,37,25,08B,1143657,1910194,2016,12/08/2016 03:55:45 PM,41.90960466,-87.747703673,"(41.90960466, -87.747703673)"
10770014,HZ535457,12/01/2016 01:54:00 AM,067XX S CRANDON AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0331,003,5,43,08A,1192479,1860820,2016,12/08/2016 03:55:45 PM,41.773065672,-87.569966992,"(41.773065672, -87.569966992)"
10770626,HZ535946,12/01/2016 01:56:00 AM,046XX S EVANS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0221,002,4,38,08B,1182038,1874375,2016,12/08/2016 03:55:45 PM,41.810509719,-87.607821275,"(41.810509719, -87.607821275)"
10772893,HZ538881,12/01/2016 02:00:00 AM,071XX W FARRAGUT AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,1613,016,41,10,06,1127702,1934407,2016,12/08/2016 03:55:45 PM,41.976331985,-87.805769196,"(41.976331985, -87.805769196)"
10770513,HZ535767,12/01/2016 02:00:00 AM,043XX W WILSON AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1722,017,45,16,06,1146244,1930211,2016,12/08/2016 03:55:45 PM,41.964484249,-87.737689121,"(41.964484249, -87.737689121)"
10770394,HZ535600,12/01/2016 02:00:00 AM,040XX W 13TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,1011,010,24,29,14,1149435,1893731,2016,12/08/2016 03:55:45 PM,41.864318188,-87.726904973,"(41.864318188, -87.726904973)"
10770244,HZ535607,12/01/2016 02:00:00 AM,013XX W WEBSTER AVE,0810,THEFT,OVER $500,STREET,false,false,1811,018,32,7,06,1166863,1914745,2016,12/08/2016 03:55:45 PM,41.921626461,-87.662323919,"(41.921626461, -87.662323919)"
10770009,HZ535453,12/01/2016 02:00:00 AM,011XX N ASHLAND AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,FIRE STATION,false,false,1213,012,1,24,14,1165518,1907698,2016,12/08/2016 03:55:45 PM,41.90231781,-87.667466797,"(41.90231781, -87.667466797)"
10770037,HZ535472,12/01/2016 02:01:00 AM,100XX S AVENUE L,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,false,false,0432,004,10,52,26,1201815,1838955,2016,12/08/2016 03:55:45 PM,41.712834187,-87.536486588,"(41.712834187, -87.536486588)"
10770061,HZ535462,12/01/2016 02:15:00 AM,067XX S ARTESIAN AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0832,008,15,66,03,1161201,1859967,2016,12/08/2016 03:55:45 PM,41.771429553,-87.684647839,"(41.771429553, -87.684647839)"
10770023,HZ535469,12/01/2016 02:46:00 AM,002XX S CENTRAL AVE,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,true,false,1522,015,29,25,26,1139095,1898340,2016,12/08/2016 03:55:45 PM,41.877160063,-87.764751319,"(41.877160063, -87.764751319)"
10770571,HZ535729,12/01/2016 03:00:00 AM,052XX S ABERDEEN ST,1020,ARSON,BY FIRE,STREET,false,false,0934,009,16,61,09,1169870,1870139,2016,12/08/2016 03:55:45 PM,41.799158894,-87.652575003,"(41.799158894, -87.652575003)"
10770044,HZ535459,12/01/2016 03:10:00 AM,049XX W WELLINGTON AVE,1020,ARSON,BY FIRE,ALLEY,false,false,2521,025,31,19,09,1142905,1919493,2016,12/08/2016 03:55:45 PM,41.935136132,-87.750233947,"(41.935136132, -87.750233947)"
