Year,Hour,Crime Count
2001,20:00,5.892683248202157
2001,18:00,5.83091939611423
2001,19:00,5.823301854356719
2001,21:00,5.794684602889313
2001,22:00,5.7592733276922345
2002,20:00,5.867862660662043
2002,21:00,5.781368133854903
2002,19:00,5.764521218894842
2002,22:00,5.743154399921107
2002,18:00,5.690764603398968
2003,20:00,5.907914201183432
2003,19:00,5.821552245831092
2003,0:00,5.789192778375471
2003,21:00,5.784990250134481
2003,22:00,5.691904249596558
2004,20:00,5.852837464977788
2004,21:00,5.805324441508911
2004,12:00,5.789983913752144
2004,0:00,5.742897016054289
2004,22:00,5.6702425720951535
2005,20:00,5.8334178308961295
2005,12:00,5.794622428151355
2005,21:00,5.794401999726669
2005,0:00,5.767730160339636
2005,22:00,5.709537056222474
2006,0:00,5.873884571260217
2006,21:00,5.814960471749912
2006,22:00,5.727467111870974
2006,20:00,5.718092823312516
2006,12:00,5.66742702562752
2007,0:00,6.373964908747179
2007,21:00,5.784151717255869
2007,20:00,5.745013938542243
2007,22:00,5.741123048260772
2007,19:00,5.544518651097002
2008,0:00,6.469503954730804
2008,21:00,5.788873352585858
2008,20:00,5.7528041465534
2008,22:00,5.649046625304187
2008,19:00,5.575502919497748
2009,0:00,6.1151913019332715
2009,19:00,5.652062046073464
2009,20:00,5.621492458227932
2009,12:00,5.6118120887435134
2009,21:00,5.578695035244188
2010,20:00,5.685091023057013
2010,19:00,5.680497992575502
2010,12:00,5.565942408801327
2010,0:00,5.55891777394725
2010,21:00,5.553784386938502
2011,19:00,5.742748315265163
2011,12:00,5.6332298834553205
2011,20:00,5.571216849339618
2011,15:00,5.455440221426357
2011,21:00,5.345068399238776
2012,19:00,5.73710662968447
2012,12:00,5.694801538475288
2012,20:00,5.57682396017363
2012,18:00,5.457654689161853
2012,22:00,5.380790509359256
2013,12:00,5.822567707687994
2013,19:00,5.731921248443033
2013,15:00,5.677468159616025
2013,20:00,5.542150603548906
2013,18:00,5.5098700299328955
2014,19:00,5.983918038102663
2014,12:00,5.753655239753852
2014,18:00,5.704833697065971
2014,20:00,5.626136284972073
2014,15:00,5.61156269013987
2015,18:00,5.892690051806377
2015,19:00,5.841340119131844
2015,12:00,5.767928733900845
2015,20:00,5.56443085256103
2015,15:00,5.48607465899841
2016,18:00,5.779138141984377
2016,12:00,5.671927620622067
2016,19:00,5.6162763576248365
2016,20:00,5.458734179287091
2016,17:00,5.335155639396183
