Primary Type,Year,Month,Crimes Count
PROSTITUTION,2010,May,202
PROSTITUTION,2010,November,205
PROSTITUTION,2010,October,178
PROSTITUTION,2010,September,172
PROSTITUTION,2011,April,150
PROSTITUTION,2011,August,283
PROSTITUTION,2011,December,191
PROSTITUTION,2011,February,202
PROSTITUTION,2011,January,242
PROSTITUTION,2011,July,186
PROSTITUTION,2011,June,172
PROSTITUTION,2011,March,201
PROSTITUTION,2011,May,136
PROSTITUTION,2011,November,204
PROSTITUTION,2011,October,207
PROSTITUTION,2011,September,250
PROSTITUTION,2012,April,172
PROSTITUTION,2012,August,198
PROSTITUTION,2012,December,111
PROSTITUTION,2012,February,198
PROSTITUTION,2012,January,194
PROSTITUTION,2012,July,209
PROSTITUTION,2012,June,210
PROSTITUTION,2012,March,267
PROSTITUTION,2012,May,135
PROSTITUTION,2012,November,146
PROSTITUTION,2012,October,189
PROSTITUTION,2012,September,174
PROSTITUTION,2013,April,156
PROSTITUTION,2013,August,123
PROSTITUTION,2013,December,43
PROSTITUTION,2013,February,147
PROSTITUTION,2013,January,163
PROSTITUTION,2013,July,151
PROSTITUTION,2013,June,119
PROSTITUTION,2013,March,175
PROSTITUTION,2013,May,177
PROSTITUTION,2013,November,146
PROSTITUTION,2013,October,112
PROSTITUTION,2013,September,140
PROSTITUTION,2014,April,142
PROSTITUTION,2014,August,197
PROSTITUTION,2014,December,107
PROSTITUTION,2014,February,120
PROSTITUTION,2014,January,69
PROSTITUTION,2014,July,183
PROSTITUTION,2014,June,131
PROSTITUTION,2014,March,97
PROSTITUTION,2014,May,125
PROSTITUTION,2014,November,149
PROSTITUTION,2014,October,142
PROSTITUTION,2014,September,163
PROSTITUTION,2015,April,104
PROSTITUTION,2015,August,131
PROSTITUTION,2015,December,65
PROSTITUTION,2015,February,119
PROSTITUTION,2015,January,182
PROSTITUTION,2015,July,101
PROSTITUTION,2015,June,129
PROSTITUTION,2015,March,109
PROSTITUTION,2015,May,155
PROSTITUTION,2015,November,64
PROSTITUTION,2015,October,88
PROSTITUTION,2015,September,75
PROSTITUTION,2016,April,112
PROSTITUTION,2016,August,71
PROSTITUTION,2016,February,70
PROSTITUTION,2016,January,69
PROSTITUTION,2016,July,80
PROSTITUTION,2016,June,57
PROSTITUTION,2016,March,58
PROSTITUTION,2016,May,70
PROSTITUTION,2016,November,64
PROSTITUTION,2016,October,61
PROSTITUTION,2016,September,75
